Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Jonah,1,M. Stafford QB - DET ,24.84,C. McCaffrey RB - CAR ,36.10,N. Chubb RB - CLE ,11.10,T. Williams WR - LV ,6.30,T. McLaurin WR - WAS ,5.90,T. Kelce TE - KC ,9.70,M. Ingram RB - BAL ,13.40,A. Vinatieri K - IND ,4.00,Jets DEF ,6.00,A. Jeffery WR - PHI ,5.60,R. Woods WR - LA ,0.00,R. Freeman RB - DEN ,1.90,M. Sanders RB - PHI ,8.80,D. Singletary RB - BUF ,21.50,W. Lutz K - NO ,0.00,117.34,BRyant,112.06
David,10,J. Garoppolo QB - SF ,28.88,P. Lindsay RB - DEN ,15.20,D. Montgomery RB - CHI ,21.10,G. Tate WR - NYG ,8.80,O. Beckham WR - CLE ,10.70,G. Kittle TE - SF ,16.90,D. Slayton WR - NYG ,1.10,M. Prater K - DET ,6.00,Chiefs DEF ,1.00,J. White RB - NE ,15.40,J. Crowder WR - NYJ ,18.30,D. Johnson RB - HOU ,16.60,J. Goff QB - LA ,0.00,C. Kupp WR - LA ,0.00,Rams DEF ,0.00,109.68,Kevin,115.92
Max,8,K. Murray QB - ARI ,23.04,T. Coleman RB - SF ,4.60,J. Jacobs RB - LV ,24.00,J. Edelman WR - NE ,11.90,J. Smith-Schuster WR - PIT ,3.10,Z. Ertz TE - PHI ,20.80,J. Howard RB - PHI ,14.80,C. Boswell K - PIT ,16.00,Vikings DEF ,7.00,D. Brees QB - NO ,0.00,T. Burton TE - CHI ,0.00,T. Gurley RB - LA ,0.00,W. Fuller WR - HOU ,0.00,M. Williams WR - LAC ,12.80,J. Tucker K - BAL ,7.00,125.24,Jeremy,120.34
Adam,5,D. Watson QB - HOU ,19.74,M. Mack RB - IND ,8.90,S. Barkley RB - NYG ,12.50,T. Hill WR - KC ,23.50,C. Sutton WR - DEN ,14.80,D. Waller TE - LV ,6.20,A. Thielen WR - MIN ,0.00,Z. Gonzalez K - ARI ,5.00,49ers DEF ,3.00,E. Sanders WR - SF ,20.70,A. Green WR - CIN ,0.00,D. Johnson RB - ARI ,0.00,J. Brissett QB - IND ,2.76,G. Everett TE - LA ,0.00,J. Samuels RB - PIT ,12.80,93.64,Dilaun,124.20
Ricky,7,J. Allen QB - BUF ,17.60,L. Bell RB - NYJ ,16.10,C. Hyde RB - HOU ,14.00,D. Adams WR - GB ,7.60,A. Cooper WR - DAL ,16.00,G. Olsen TE - CAR ,5.50,A. Robinson WR - CHI ,1.10,J. Myers K - SEA ,8.00,Patriots DEF ,4.00,A. Peterson RB - WAS ,13.50,D. Freeman RB - ATL ,0.00,J. Brown WR - BUF ,9.60,K. Drake RB - ARI ,26.20,C. Ridley WR - ATL ,0.00,G. Zuerlein K - LA ,0.00,89.90,Eli,94.08
Eli,6,D. Prescott QB - DAL ,21.48,L. Fournette RB - JAX ,9.70,A. Jones RB - GB ,3.40,P. Dorsett WR - NE ,2.30,M. Gallup WR - DAL ,10.30,V. McDonald TE - PIT ,11.50,M. Gordon RB - LAC ,24.40,N. Folk K - NE ,8.00,Jaguars DEF ,3.00,M. Ryan QB - ATL ,0.00,J. Jones WR - ATL ,0.00,T. Ginn WR - NO ,0.00,S. Watkins WR - KC ,9.80,J. Akins TE - HOU ,3.90,D. Bailey K - MIN ,5.00,94.08,Ricky,89.90
Dilaun,4,T. Brady QB - NE ,13.40,M. Walton RB ,5.60,T. Johnson RB - DET ,5.10,M. Evans WR - TB ,30.00,T. Lockett WR - SEA ,33.70,E. Engram TE - NYG ,8.00,D. Amendola WR - DET ,4.40,H. Butker K - KC ,16.00,Bills DEF ,8.00,L. Fitzgerald WR - ARI ,5.80,L. Murray RB - NO ,0.00,B. Cooks WR - LA ,0.00,K. Hunt RB - CLE ,0.00,J. Conner RB - PIT ,0.00,A. Kamara RB - NO ,0.00,124.20,Adam,93.64
Jeremy,3,A. Rodgers QB - GB ,12.94,E. Elliott RB - DAL ,13.90,J. Williams RB - GB ,13.90,M. Jones WR - DET ,22.60,C. Godwin WR - TB ,10.40,D. Fells TE - HOU ,6.60,D. Metcalf WR - SEA ,24.00,M. Crosby K - GB ,5.00,Panthers DEF ,11.00,K. Cousins QB - MIN ,21.30,T. Hilton WR - IND ,0.00,D. Williams RB - KC ,19.80,T. Boyd WR - CIN ,0.00,M. Thomas WR - NO ,0.00,M. Andrews TE - BAL ,3.10,120.34,Max,125.24
Kevin,9,R. Wilson QB - SEA ,39.22,F. Gore RB - BUF ,1.50,C. Carson RB - SEA ,12.30,K. Allen WR - LAC ,5.50,J. Landry WR - CLE ,14.10,H. Henry TE - LAC ,11.90,D. Henry RB - TEN ,23.40,R. Gould K - SF ,4.00,Bears DEF ,4.00,L. McCoy RB - KC ,1.40,M. Sanu WR - NE ,19.10,C. Samuel WR - CAR ,14.90,P. Mahomes QB - KC ,0.00,M. Breida RB - SF ,10.20,S. Michel RB - NE ,3.50,115.92,David,109.68
BRyant,2,G. Minshew QB - JAX ,7.76,D. Cook RB - MIN ,13.60,A. Ekeler RB - LAC ,11.30,D. Hopkins WR - HOU ,15.40,S. Diggs WR - MIN ,2.10,J. Doyle TE - IND ,9.70,K. Golladay WR - DET ,21.20,A. Seibert K - CLE ,13.00,Cowboys DEF ,18.00,A. Hooper TE - ATL ,0.00,D. Robinson WR - KC ,1.00,J. Mixon RB - CIN ,0.00,L. Jackson QB - BAL ,28.62,D. Moore WR - CAR ,13.60,D. Chark WR - JAX ,5.20,112.06,Jonah,117.34
